,timestamp,blocktime,hashrate,median_single_trans,fee_percent_in_reward,fees,price,total_send_usd,transaction_number,diff
187,2016-07-06,0.239,4321273099862.0,10.047,0.082,0.00661,10.042,9901211.0,40433.0,57701438555504.0
188,2016-07-07,0.24,4345648467793.0,8.186,0.12,0.00965,10.428,7196201.0,42506.0,57863292797925.0
189,2016-07-08,0.235,4355709093042.0,10.819,0.145,0.0133,10.946,6481576.0,40410.0,56397382202774.0
190,2016-07-09,0.238,4385782907557.0,10.854,0.0851,0.00762,10.854,7210233.0,39358.0,58464106349394.0
191,2016-07-10,0.239,4454897495875.0,10.561,0.0875,0.00781,10.552,8510454.0,38582.0,59261327451818.0
192,2016-07-11,0.24,4454066920182.0,9.986,0.101,0.00841,10.512,9103053.0,40811.0,59736577470535.0
193,2016-07-12,0.237,4517358014101.0,10.451,0.0758,0.00722,10.43,9829372.0,35740.0,59851040240448.0
194,2016-07-13,0.24,4471449708708.0,6.678,0.0997,0.00837,11.053,10279154.0,42809.0,59835050330498.0
195,2016-07-14,0.24,4401908333529.0,11.889,0.0895,0.00843,11.889,46446051.0,41110.0,58712475117659.0
196,2016-07-15,0.237,4427690388551.0,7.066,0.0729,0.00737,11.751,9188474.0,38062.0,58591318439182.0
197,2016-07-16,0.239,4445281837909.0,11.295,0.061,0.00653,11.267,8611782.0,33914.0,59611231131587.0
198,2016-07-17,0.236,4569667322186.0,11.326,0.0773,0.00741,11.325,32395600.0,39198.0,59773542463192.0
199,2016-07-18,0.241,4514037582813.0,11.636,0.0897,0.00745,11.265,109860926.0,44184.0,60392956399108.0
200,2016-07-19,0.242,4425692444449.0,2.708,0.23,0.018,12.083,169755092.0,50631.0,58929113774391.0
201,2016-07-20,0.234,4601325592901.0,9.753,0.102,0.00944,12.391,21800549.0,44882.0,59762632002726.0
202,2016-07-21,0.242,4434067480648.0,13.462,0.116,0.0104,13.467,40936850.0,48458.0,59595509484017.0
203,2016-07-22,0.236,4620428149188.0,13.559,0.0998,0.0106,14.417,37917462.0,45006.0,60796529061177.0
204,2016-07-23,0.243,4497641817329.0,13.547,0.116,0.00858,13.37,171387385.0,58215.0,60911953245187.0
205,2016-07-24,0.239,4352798934013.0,13.378,0.121,0.00957,13.315,130660273.0,54856.0,58041221653187.0
206,2016-07-25,0.248,4147535225344.0,13.045,0.144,0.00942,12.83,266822152.0,61930.0,57484752193098.0
207,2016-07-26,0.233,3974787711235.0,12.551,0.113,0.00911,12.634,157566739.0,53035.0,51386968380958.0
208,2016-07-27,0.237,4230899907958.0,12.733,0.19,0.0168,12.722,97214542.0,48555.0,55687364932491.0
209,2016-07-28,0.241,4137606101683.0,10.944,0.139,0.0123,12.68,67720705.0,47243.0,55145824712935.0
210,2016-07-29,0.241,4058070741443.0,11.48,0.0928,0.00903,12.645,47610616.0,42011.0,54679107435443.0
211,2016-07-30,0.239,4120254389555.0,12.15,0.0922,0.00757,12.154,44047258.0,48749.0,54482543366798.0
212,2016-07-31,0.242,4033375880514.0,11.575,0.0944,0.00766,11.575,63005838.0,45978.0,54442484651247.0
213,2016-08-01,0.244,3736337701640.0,10.357,0.106,0.00706,10.193,103575511.0,49041.0,50796904183649.0
214,2016-08-02,0.241,3614636398718.0,3.944,0.102,0.0064,9.587,83965219.0,49475.0,48632916886891.0
215,2016-08-03,0.233,3935860678507.0,10.722,0.0966,0.00742,10.705,39435122.0,46761.0,51089912313125.0
216,2016-08-04,0.237,4031183899245.0,10.934,0.0893,0.00744,10.934,45865582.0,43212.0,53305074165704.0
217,2016-08-05,0.241,3924809359558.0,10.699,0.081,0.00672,10.696,19385307.0,41487.0,53004484865260.0
218,2016-08-06,0.237,4057566463839.0,10.897,0.084,0.00703,10.902,22887341.0,42955.0,53577776788041.0
219,2016-08-07,0.238,4136885718543.0,10.952,0.164,0.0137,10.952,23302297.0,42984.0,54810196442943.0
220,2016-08-08,0.235,4353321145857.0,11.66,0.0941,0.0078,11.665,36965724.0,47057.0,56754741398786.0
221,2016-08-09,0.238,4442388028996.0,10.932,0.102,0.00879,12.174,58708375.0,46290.0,58859667311533.0
222,2016-08-10,0.237,4539975826097.0,9.494,0.0976,0.00789,11.844,46109267.0,48171.0,60119489659431.0
223,2016-08-11,0.239,4528215404511.0,7.02,0.0914,0.00803,11.803,27109625.0,44400.0,60031378269376.0
224,2016-08-12,0.239,4479007633116.0,7.518,0.0768,0.00712,11.665,23293565.0,41088.0,59674470740231.0
